espn_id,full_name,salary,position,team_id
17317,"Kenny Ladler",4500,"FS","BUF"
14045,"Aaron Williams",4500,"FS","BUF"
15884,"Duke Williams",4500,"FS","BUF"
11688,"Dan Carpenter",4500,"PK","BUF"
16591,"Jordan Gay",4500,"P","BUF"
11128,"Matt Moore",4500,"QB","MIA"
14876,"Ryan Tannehill",4500,"QB","MIA"
17331,"Orleans Darkwa",4500,"RB","MIA"
15952,"Mike Gillislee",4500,"RB","MIA"
14886,"Lamar Miller",4500,"RB","MIA"
12516,"Knowshon Moreno",4500,"RB","MIA"
12524,"Marcus Thigpen",4500,"RB","MIA"
14056,"Daniel Thomas",4500,"RB","MIA"
17359,"Damien Williams",4500,"RB","MIA"
14818,"Kevin Cone",4500,"WR","MIA"
12567,"Brandon Gibson",4500,"WR","MIA"
12568,"Brian Hartline",4500,"WR","MIA"
16870,"Matt Hazel",4500,"WR","MIA"
16790,"Jarvis Landry",4500,"WR","MIA"
15102,"Rishard Matthews",4500,"WR","MIA"
12601,"Mike Wallace",4500,"WR","MIA"
13219,"Damian Williams",4500,"WR","MIA"
14145,"Charles Clay",4500,"TE","MIA"
16844,"Arthur Lynch",4500,"TE","MIA"
17173,"Harold Hoskins",4500,"TE","MIA"
14289,"Kyle Miller",4500,"TE","MIA"
15974,"Dion Sims",4500,"TE","MIA"
16375,"Sam Brenner",4500,"C","MIA"
9287,"John Denney",4500,"C","MIA"
13974,"Mike Pouncey",4500,"C","MIA"
13364,"Jason Fox",4500,"OT","MIA"
11249,"Branden Albert",4500,"OT","MIA"
11377,"Tony Hills",4500,"OT","MIA"
16722,"Ja'Wuan James",4500,"OT","MIA"
16759,"Billy Turner",4500,"OT","MIA"
14119,"David Arkin",4500,"OG","MIA"
9633,"Daryn Colledge",4500,"OG","MIA"
11445,"Nate Garner",4500,"OG","MIA"
17148,"Evan Finkenberg",4500,"OG","MIA"
13460,"Shelley Smith",4500,"OG","MIA"
15868,"Dallas Thomas",4500,"OG","MIA"
17276,"Davonte Wallace",4500,"OG","MIA"
16860,"Terrence Fede",4500,"DE","MIA"
15800,"Dion Jordan",4500,"DE","MIA"
17217,"Tevin Mims",4500,"DE","MIA"
